,Stress Level,Mood Rating,Sleep Quality,Energy Level,Work Hours Per Day,Job Satisfaction,Workload Intensity,Break Frequency,Overtime Frequency,Role Clarity,Autonomy in Work,Burnout Risk
129,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
130,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
131,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
132,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
133,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
134,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
135,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
136,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
137,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
138,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0
139,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
140,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
141,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0
142,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
143,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
144,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
145,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
146,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
147,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
148,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
149,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
150,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
151,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
152,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
153,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
154,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
155,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1
156,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
157,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
158,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
159,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
160,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
161,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
162,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
163,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
164,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
165,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
166,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
167,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
168,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1
169,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
170,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
171,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
173,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
174,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
175,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
176,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
177,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
178,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
179,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
180,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0
181,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
182,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
183,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
184,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
185,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1
186,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
187,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0
188,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
189,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
190,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
191,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
192,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
193,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
194,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
195,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
196,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
197,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
198,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
199,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
200,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
201,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
202,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
203,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
204,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
205,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
206,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
207,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0
208,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
209,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
210,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
211,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
212,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
213,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
214,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
215,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
216,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
217,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
218,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
219,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
220,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
221,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
222,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
223,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
224,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
225,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
226,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
227,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
228,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
229,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
230,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
231,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
232,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
233,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
234,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
235,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
236,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
237,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
238,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
239,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1
240,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
241,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
242,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
243,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
244,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
245,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
246,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0
247,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
248,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
249,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
250,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
251,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0
252,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
253,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
254,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
255,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
256,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0
257,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
258,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
259,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
260,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0
261,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
262,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
263,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
264,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
265,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
266,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
267,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
268,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
269,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
270,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
271,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
272,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0
273,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0
274,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
275,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
276,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
277,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
278,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
279,0.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
280,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
281,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
282,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1
283,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
284,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0
285,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0
286,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1
